"Station_Name","Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)","Lat/YCoord","Lon/XCoord","Height","Height_Units(meters,feet)","Speed","Speed_Units(mph,kph,mps,kts)","Direction(degrees)","Temperature","Temperature_Units(F,C)","Cloud_Cover(%)","Radius_of_Influence","Radius_of_Influence_Units(miles,feet,meters,km)","date_time"
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,9.44,C,75.4159,-1,km,2018-06-21T02:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,10,C,0,-1,km,2018-06-21T03:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,10,C,0,-1,km,2018-06-21T04:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,9.44,C,0,-1,km,2018-06-21T05:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,9.44,C,0,-1,km,2018-06-21T06:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,9.44,C,0,-1,km,2018-06-21T07:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,9.44,C,0,-1,km,2018-06-21T08:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,9.44,C,0,-1,km,2018-06-21T09:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,8.89,C,0,-1,km,2018-06-21T10:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,9.44,C,87.0948,-1,km,2018-06-21T11:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,8.33,C,86.271,-1,km,2018-06-21T12:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,7.22,C,86.1591,-1,km,2018-06-21T13:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,6.67,C,93.7544,-1,km,2018-06-21T14:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,7.22,C,94.3232,-1,km,2018-06-21T15:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,8.33,C,86.7826,-1,km,2018-06-21T16:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,8.33,C,66.7342,-1,km,2018-06-21T17:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,10.56,C,31.4213,-1,km,2018-06-21T18:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,10.56,C,38.8431,-1,km,2018-06-21T19:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,10.56,C,38.3935,-1,km,2018-06-21T20:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,8.89,C,72.5476,-1,km,2018-06-21T21:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,7.78,C,81.1715,-1,km,2018-06-21T22:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,8.33,C,66.4877,-1,km,2018-06-21T23:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,8.33,C,69.3463,-1,km,2018-06-22T00:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,7.78,C,80.9817,-1,km,2018-06-22T01:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,7.22,C,79.4855,-1,km,2018-06-22T02:59:00Z
PNTM8,GEOGCS,WGS84,47.0414,-113.986,6.0959,meters,0,mps,0,7.22,C,0,-1,km,2018-06-22T03:59:00Z
